Price,Year,Power(HP),Mileage(KM),Description,Link,Fuel_type
6995000,2016,150,110000,VOLKSWAGEN PASSAT 2.0 TDI Comfortline BMT DSG ELSŐ TULAJDONOSTÓL. GYÁRI FÉNYEZÉSŰ. GARANTÁLT KILÓMÉTERREL!!!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_2.0_tdi_comfortline_bmt_dsg_elso_tulajdonostol_gyari_fenyezesu_garantalt_kilometerrel-18265337#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
3099999,2012,140,294000,VOLKSWAGEN PASSAT Variant 2.0 CR TDI Comfortline BMT DSG Magyarországi !!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_variant_2.0_cr_tdi_comfortline_bmt_dsg_magyarorszagi-18614702#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
3599000,2012,122,238590,VOLKSWAGEN PASSAT VII Variant 1.4 TSI Comfortline DSG FRISS MŰSZAKI --- AZONNAL ÁTVEHETŐ -- SZERVIZELT,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_variant_1.4_tsi_comfortline_dsg_friss_muszaki_---_azonnal_atveheto_--_szervizelt-18442280#sid=79f20431-6032-496b-a252-b1313759d49e,Benzin
3750000,2014,140,233100,VOLKSWAGEN PASSAT VII 2.0 CR TDI Comfortline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_vii/volkswagen_passat_vii_2.0_cr_tdi_comfortline_bmt_dsg-18701206#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
5950000,2016,150,176000,VOLKSWAGEN PASSAT VIII 2.0 TDI Comfortline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_viii/volkswagen_passat_viii_2.0_tdi_comfortline_bmt_dsg-18480135#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
5999000,2015,150,178500,VOLKSWAGEN PASSAT VIII 2.0 TDI Comfortline BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_viii/volkswagen_passat_viii_2.0_tdi_comfortline_bmt_dsg-18565790#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
5999000,2016,190,242300,VOLKSWAGEN PASSAT Variant 2.0 TDI Comfortline SCR BMT DSG 4Motion 1év garancia.4 motion. vonóhorog!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_variant_2.0_tdi_comfortline_scr_bmt_dsg_4motion_1ev_garancia4_motion_vonohorog-18511708#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
59999996299990,2015,190,218428,VOLKSWAGEN PASSAT VIII Variant 2.0 TDI Highline SCR BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_viii/volkswagen_passat_viii_variant_2.0_tdi_highline_scr_bmt_dsg-18634454#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
69500007350000,2017,150,97000,VOLKSWAGEN PASSAT 2.0 TDI Highline BMT DSG MO-i. gyári vonóhorog. LED. kevés km!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_2.0_tdi_highline_bmt_dsg_mo-i_gyari_vonohorog_led_keves_km-18696047#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
69900007490000,2015,239,189910,VOLKSWAGEN PASSAT Variant 2.0 TDI Highline BiTurbo SCR 4Motion BMT DSG,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_variant_2.0_tdi_highline_biturbo_scr_4motion_bmt_dsg-18479512#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
6999999,2015,150,259000,VOLKSWAGEN PASSAT 2.0 TDI Highline BMT DSG LEDMÁTRIX. Virtual Cocpit Panoráma. Bőr. Masszázs stb,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_2.0_tdi_highline_bmt_dsg_ledmatrix_virtual_cocpit_panorama_bor_masszazs_stb-18358812#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
7290000,2016,190,188500,VOLKSWAGEN PASSAT VIII Variant 2.0 TDI Highline SCR BMT DSG 4Motion Összkerék. DSG váltó. bőr-alcantara. 190Le-s változat. rengeteg extra,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat_viii/volkswagen_passat_viii_variant_2.0_tdi_highline_scr_bmt_dsg_4motion_osszkerek_dsg_valto_bor-alcantara_190le-s_valtozat_rengeteg_extra-18706177#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
7499000,2017,150,164000,VOLKSWAGEN PASSAT Variant 2.0 TDI Highline BMT DSG SÉRÜLÉSMENTES MAGYAR 1. TUL ÁFÁ-S SZÁMLA! LED. NAVI. TOLATÓKAMERA!,https://www.hasznaltauto.hu/szemelyauto/volkswagen/passat/volkswagen_passat_variant_2.0_tdi_highline_bmt_dsg_serulesmentes_magyar_1_tul_afa-s_szamla_led_navi_tolatokamera-18717082#sid=79f20431-6032-496b-a252-b1313759d49e,Dízel
